date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:29	1895/1895	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:07%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpextb998.html	(from )
11:18:29	225/225	---M--	200	added ('OK')	text/plain	etag:%224433e6539ea9ca1:59d%22	http://www.conwaygreene.com/robots.txt		(from )
11:18:29	341/341	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2017%20Jun%202013%2015:23:07%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=NNResizeFix.js&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext5d0d.js	(from )
11:18:29	185/185	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:08%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=cglogo.htm&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpextef42.html	(from )
11:18:30	37293/37293	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:08%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext8077.html	(from )
11:18:30	2986/2986	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:09%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=docnav.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpexte080.html	(from )
11:18:30	7900/7900	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:08%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=toolbar.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext8a93.html	(from )
11:18:31	0/-1	---M--	302	error ('Moved')	text/html	date:Mon,%2017%20Jun%202013%2015:23:09%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=document-frame.htm&2.0&t=document-frame.htm&tc=tools-contents.htm&fc=toc	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext.61ac1.delayed	(from )
11:18:32	553/553	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:10%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll/?f=templates&fn=document-frame.htm&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext.dll/indexee20.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0)
11:18:32	1615/1615	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jun%202013%2015:23:11%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=stylesheets&fn=main.css&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpextca64.css	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0)
11:18:32	7542/7542	---M--	200	added ('OK')	image/bmp	date:Mon,%2017%20Jun%202013%2015:23:11%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=images&fn=whdHelp.bmp&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext51e7.bmp	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0)
11:18:34	44289/44289	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:11%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&cp=Springboro&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpextda37.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0)
11:18:34	40122/40122	---M--	200	added ('OK')	image/bmp	date:Mon,%2017%20Jun%202013%2015:23:10%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=images&fn=whdlogo.bmp	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext59ca.bmp	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0)
11:18:35	898/898	---M--	200	added ('OK')	image/gif	date:Mon,%2017%20Jun%202013%2015:23:11%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=images&fn=toc-collapsed.gif&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpexte2f4.gif	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0)
11:18:35	1880/1880	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jun%202013%2015:23:13%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=images&fn=stretchbar.jpg	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpextb643.jpg	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0)
11:18:35	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jun%202013%2015:23:13%20GMT	http://www.conwaygreene.com/Springboro/searchform-frames.htm	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/searchform-frames.d.delayed	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0)
11:18:35	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jun%202013%2015:23:13%20GMT	http://www.conwaygreene.com/Springboro/searchform.htm	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/searchform.htm	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=main-h.htm&2.0)
